Model,Description,Prefix,Design,Size
1307BB,"Dinner Plate, 7-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",130,,
1307J,"Dinner Plate, 7-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",130,,
1308BB,"Dinner Plate, 8-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",130,,
1308J,"Dinner Plate, 8-5/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",130,,
1338BB,"Saucer, 3-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF (5 dozen minimum order)",133,,
1338J,"Saucer, 3-3/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF (5 dozen minimum order)",133,,
1350BB,"Soup Plate, 5-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",135,,
1350J,"Soup Plate, 5-1/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",135,,
1360BB,"Saucer, 5-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1360,,
1360J,"Saucer, 5-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1360,,
1365BB,"Soup Plate, 6-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1365,,
1365J,"Soup Plate, 6-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1365,,
1400CFB,"Fish Platter, 14"", festive fish shaped, break-resistant, dishwasher safe, melamine, blue, BPA free, NSF",14,,
1400CFG,"Fish Platter, 14"", festive fish shaped, break-resistant, dishwasher safe, melamine, light green, BPA free, NSF",14,,
1400CFR,"Fish Platter, 14"", festive fish shaped, break-resistant, dishwasher safe, melamine, red, BPA free, NSF",14,,
1501BB,"Serving Plate, 8-1/2"" x 3-3/4"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1501,,
1501J,"Serving Plate, 8-1/2"" x 3-3/4"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1501,,
1502BB,"BBQ Plate, 9-3/8"" x 4-1/4"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1502,,
1502J,"BBQ Plate, 9-3/8"" x 4-1/4"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1502,,
1503BB,"Plate, 6-3/4"" x 4-1/2"", break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1503,,
