Model,Description,Prefix,Design,Size
SLSPS020C,"Lid, for SLSPS020 stock pot and SLSAP050 sauté pan, 18/8 stainless steel, NSF (6 each minimum order)",,,
SLSPS024,"Induction Stock Pot, 24 quart, 14"" dia. x 10-3/8""H, with lid, encapsulated base, 18/8 stainless steel, NSF",,,
SLSPS024C,"Lid, for SLSPS024 stock pot and SLSAP070 sauté pan, 18/8 stainless steel, NSF (6 each minimum order)",,,
SLSPS032,"Induction Stock Pot, 32 quart, 15"" dia. x 12""H, with lid, encapsulated base, 18/8 stainless steel, NSF",,,
SLSPS032C,"Lid, for SLSPS032 stock pot and SLSBP015 brazier, 18/8 stainless steel, NSF (6 each minimum order)",,,
SLSPS040,"Induction Stock Pot, 40 quart, 16-5/8"" dia. x 12""H, with lid, encapsulated base, 18/8 stainless steel, NSF",,,
SLSPS040C,"Lid, for SLSPS040 stock pot and SLSBP020 brazier, 18/8 stainless steel, NSF (6 each minimum order)",,,
SLSPS060,"Induction Stock Pot, 60 quart, 18-1/2"" dia. x 14-3/8""H, with lid, encapsulated base, 18/8 stainless steel, NSF",,,
SLSPS060C,"Lid, for SLSPS060 stock pot and SLSBP025 brazier, 18/8 stainless steel, NSF (6 each minimum order)",,,
SLSPS080,"Induction Stock Pot, 80 quart, 20-3/8"" dia. x 16""H, with lid, encapsulated base, 18/8 stainless steel, NSF",,,
SLSPS080C,"Lid, for SLSPS080 stock pot and SLSBP030 brazier, 18/8 stainless steel, NSF (6 each minimum order)",,,
SLSPS100,"Induction Stock Pot, 100 quart, 20-1/2"" dia. x 19-5/8""H, with lid, encapsulated base, 18/8 stainless steel, NSF",,,
SLSPS100C,"Lid, for SLSPS100 stock pot and SLSBP030 brazier, 18/8 stainless steel, NSF (6 each minimum order)",,,
SLSPS4008,"Stock Pot, 8 qt, 10"" dia. x 6-5/8"" height, 2-1/2"" welded handle, with 10"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4008C,"Stock Pot Lid, 10"" dia. x 1/2"" thickness, fits SLSPS008, SLSAP4030, SLSSP060 & SLSSP076, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4012,"Stock Pot, 12 qt, 11-5/8"" dia. x 7-3/8"" height, 2-3/8"" welded handle, with 11-5/8"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4012C,"Stock Pot Lid, 11-5/8"" dia. x 1/2"" thickness, fits SLSPS4012, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4016,"Stock Pot, 16 qt, 11-1/2"" dia. x 10"" height, 2-5/8"" welded handle, with 11-1/2"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4016C,"Stock Pot Lid, 11-1/2"" dia. x 1/2"" thickness, fits SLSPS4016, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4020,"Stock Pot, 20 qt, 12-3/8"" dia. x 10-1/2"" height, 2-1/2"" welded handle, with 12-3/8"" dia. x 5/8"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4020C,"Stock Pot Lid, 12-3/8"" dia. x 5/8"" thickness, fits SLSPS020 & SLSAP4050, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4024,"Stock Pot, 24 qt, 14"" dia. x 10-3/8"" height, 2-1/4"" welded handle, with 14"" dia. x 5/8"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4024C,"Stock Pot Lid, 14"" dia. x 5/8"" thickness, fits SLSPS4024 & SLSAP4070, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4032,"Stock Pot, 32 qt, 15"" dia. x 12"" height, 2-3/8"" welded handle, with 15"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4032C,"Stock Pot Lid, 15"" dia. x 1/2"" thickness, fits SLSPS4032 & SLSBP4015, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4040,"Stock Pot, 40 qt, 16-5/8"" dia. x 12"" height, 2-3/8"" welded handle, with 16-1/2"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4040C,"Stock Pot Lid, 16-1/2"" dia. x 1/2"" thickness, fits SLSPS4040 & SLSBP4020, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4060,"Stock Pot, 60 qt, 18-1/2"" dia. x 14-3/8"" height, 2-3/8"" welded handle, with 18-1/2"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4060C,"Stock Pot Lid, 18-1/2"" dia. x 1/2"" thickness, for SLSPS4060 & SLSBP4025, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4080,"Stock Pot, 80 qt, 20-3/8"" dia. x 16"" height, 2-3/8"" welded handle, with 20-3/8"" dia. x 5/8"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4080C,"Stock Pot Lid, 20-3/8"" dia. x 5/8"" thickness, fits SLSPS4080 & SLSBP4030, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4100,"Stock Pot, 100 qt, 20-1/2"" dia. x 19-5/8"" height, 2-3/8"" welded handle, with 20-3/8"" dia. x 5/8"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSPS4,,
SLSPS4100C,"Stock Pot Lid, 20-3/8"" dia. x 5/8"" thickness, fits SLSPS4100 & SLSBP4030, stainless steel, dishwasher safe, oven safe, heavy-duty, NSF",SLSPS4,,
SLSR010,"Scissor Tongs, 10""L, with safety handle, stainless steel (12 each minimum order)",,,
SLSR010TP,"Economy Teapot, 10 oz. capacity, short spout, hinged cover, stainless steel, mirror-finish (6 each minimum order)",SLSR010T,,
SLSR015,"Scissor Tongs, 15""L, with safety handle, stainless steel (12 each minimum order)",,,
SLSR210,"Stacking Teapot, 10 oz. capacity, hinged cover, stainless steel, mirror-finish (6 each minimum order)",SLSR2,,
SLSS001,"Sugar Spoon, 4.92"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS002,"Teaspoon, 6.3"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS003,"Bouillon Spoon, 6.22"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS004,"Dessert Spoon, 7.52"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS005,"Iced Tea Spoon, 7.52"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS006,"Dinner Fork, 7.68"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS007,"Salad Fork, 7.01"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS008,"Oyster Fork, 5.67"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS009,"Dinner Knife, 8.9"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS010,"Tablespoon, 8.46"", 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSS011,"Butter Knife, 18/0 stainless steel, mirror-finish, Sea Shell",,,
SLSSD003,"Sherbet Dish, 3-1/2 oz. capacity, footed base, stainless steel, mirror-finish (12 each minimum order)",SLSSD,,
SLSSD005,"Sherbet Dish, 5 oz. capacity, footed base, stainless steel, mirror-finish (12 each minimum order)",SLSSD,,
SLSSP020,"Sauce Pan, 2 quart, with lid, encapsulated base, welded handle, 18/8 stainless steel, induction ready, NSF",SLSSP,,
SLSSP035,"Sauce Pan, 3-1/2 quart, with lid, encapsulated base, welded handle, 18/8 stainless steel, induction ready, NSF",SLSSP,,
SLSSP045,"Sauce Pan, 4-1/2 quart, with lid, encapsulated base, welded handle, 18/8 stainless steel, induction ready, NSF",SLSSP,,
SLSSP060,"Sauce Pan, 6 quart, with lid, encapsulated base, welded handle, 18/8 stainless steel, induction ready, NSF",SLSSP,,
SLSSP076,"Sauce Pan, 7-5/8 quart, with lid, helper handle, encapsulated base, welded handle, 18/8 stainless steel, induction ready, NSF",SLSSP,,
SLSSP100,"Sauce Pan, 10 quart, with lid, helper handle, encapsulated base, welded handle, 18/8 stainless steel, induction ready, NSF",SLSSP,,
SLSSP4020,"Sauce Pan, 2 qt, 7"" dia. x 4"" height, 7-1/4"" welded hollow handle, with 7"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSSP,,
SLSSP4035,"Sauce Pan, 3-1/2 qt, 8-3/8"" dia. x 4-3/8"" height, 8-7/8"" welded hollow handle, with 7"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSSP,,
SLSSP4045,"Sauce Pan, 4-1/2 qt, 8-3/8"" dia. x 5-3/4"" height, 7-7/8"" welded hollow handle, with 8-3/8"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSSP,,
SLSSP4060,"Sauce Pan, 6 qt, 10"" dia. x 5-3/8"" height, 8-3/4"" welded hollow handle, with 10"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSSP,,
SLSSP4076,"Sauce Pan, 7-3/5 qt, 10-1/4"" dia. x 6-3/8"" height, 8-3/4"" welded hollow handle & 2-1/4"" welded helper handle, with 10"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSSP,,
SLSSP4100,"Sauce Pan, 10 qt, 7"" dia. x 4"" height, 7-1/4"" welded hollow handle, with 7"" dia. x 1/2"" thickness lid, stainless steel, encapsulated base, dishwasher safe, standard electric, gas cooktop, halogen & induction ready, oven safe, heavy-duty, NSF",SLSSP,,
SLST001,"Hotplate, counter model, gas, single burner, manual adjustable heat dial, smooth finish, LP Gas Only, 16,500 BTU, **No Warranty**",SLST0,,
SLST002,"Hotplate, counter model, gas, double burner, dual manual adjustable heat dials, smooth finish, LP Gas Only, 29,700 BTU,  **No Warranty**",SLST0,,
SLSTN006,"Strainer, 6"" dia., single mesh, support handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN008,"Strainer, 8"" dia., single mesh, support handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN009,"Strainer, 9"" dia., single mesh, support handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN010,"Strainer, 10"" dia., single mesh, support handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN3106,"Strainer, 6"" dia., single fine mesh, pan hooks, enclosed wooden handle, tin (12 each minimum order)",SLSTN,,
SLSTN3108,"Strainer, 8"" dia., single fine mesh, pan hooks, enclosed wooden handle, tin (12 each minimum order)",SLSTN,,
SLSTN3110,"Strainer, 10"" dia., single fine mesh, pan hooks, enclosed wooden handle, tin (6 each minimum order)",SLSTN,,
SLSTN3206,"Strainer, 6"" dia., double fine mesh, pan hooks, enclosed wooden handle, tin (12 each minimum order)",SLSTN,,
SLSTN3208,"Strainer, 8"" dia., double fine mesh, pan hooks, enclosed wooden handle, tin (12 each minimum order)",SLSTN,,
SLSTN3306,"Strainer, 6"" dia., single medium mesh, pan hooks, enclosed wooden handle, tin (12 each minimum order)",SLSTN,,
SLSTN3308,"Strainer, 8"" dia., single medium mesh, pan hooks, enclosed wooden handle, tin (12 each minimum order)",SLSTN,,
SLSTN3308R,"Strainer, 9-1/2"" dia., reinforced, double fine mesh, pan hooks, flat wooden handle, nickel plated frame",SLSTN,,
SLSTN3310,"Strainer, 10"" dia., single medium mesh, pan hooks, enclosed wooden handle, tin (6 each minimum order)",SLSTN,,
SLSTN3310R,"Strainer, 10-1/2"" dia., reinforced, double fine mesh, pan hooks, flat wooden handle, nickel plated frame",SLSTN,,
SLSTN3312R,"Strainer, 11-3/4"" dia., reinforced, double fine mesh, pan hooks, round wooden handle, nickel plated frame",SLSTN,,
SLSTN3314R,"Strainer, 13-3/4"" dia., reinforced, double fine mesh, pan hooks, flat wooden handle, nickel plated frame",SLSTN,,
SLSTN3406,"Strainer, 6"" dia., double medium mesh, pan hooks, enclosed wooden handle, tin (12 each minimum order)",SLSTN,,
SLSTN3408,"Strainer, 8"" dia., double medium mesh, pan hooks, enclosed wooden handle, tin (6 each minimum order)",SLSTN,,
SLSTN3410,"Strainer, 10"" dia., double medium mesh, pan hooks, enclosed wooden handle, tin (6 each minimum order)",SLSTN,,
SLSTN5106,"Strainer, 6"" dia., single fine mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5106PB,"Strainer, 6"" dia. single fine mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5108,"Strainer, 8"" dia., single fine mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5108PB,"Strainer, 8"" dia. single fine mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5110,"Strainer, 10"" dia., single fine mesh, flat wood handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTN5110PB,"Strainer, 10"" dia. single fine mesh, black plastic handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTN5206,"Strainer, 6"" dia., double fine mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5206PB,"Strainer, 6"" dia. double fine mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5208,"Strainer, 8"" dia., double fine mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5208PB,"Strainer, 8"" dia. double fine mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5210,"Strainer, 10"" dia., double fine mesh, flat wood handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTN5210PB,"Strainer, 10"" dia. double fine mesh, black plastic handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTN5306,"Strainer, 6"" dia., single medium mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5306PB,"Strainer, 6"" dia. single medium mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5308,"Strainer, 8"" dia., single medium mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5308PB,"Strainer, 8"" dia. single medium mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5310,"Strainer, 10"" dia., single medium mesh, flat wood handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTN5310PB,"Strainer, 10"" dia. single medium mesh, black plastic handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTN5406,"Strainer, 6"" dia., double medium mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5406PB,"Strainer, 6"" dia. double medium mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5408,"Strainer, 8"" dia., double medium mesh, flat wood handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5408PB,"Strainer, 8"" dia. double medium mesh, black plastic handle, stainless steel (12 each minimum order)",SLSTN,,
SLSTN5410,"Strainer, 10"" dia., double medium mesh, flat wood handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTN5410PB,"Strainer, 10"" dia. double medium mesh, black plastic handle, stainless steel (6 each minimum order)",SLSTN,,
SLSTP714,"Sauce Pan, with lid, 7-1/4"" dia., stainless steel, mirror-polish finish",SLSTP,,
SLSTR30,"Sink Strainer, 3"", with 2-1/2"" stopper, perforated, stainless steel (12 each minimum order)",SLSTR,,
SLTA08,"Taco Basket, 21-1/4"" x 6-3/4"" x 9""H, moulds up to 8 shells, fry kettle hook, nickel plated basket, stainless steel frame and dividers",SLTA,,
SLTB001,"Tea Strainer, 2"" dia., tea ball with chain and mesh lining, 18/8 stainless steel (12 each minimum order)",SLTB00,,
SLTB002,"Tea Strainer, 2-3/4"" dia., tea ball with chain and mesh lining, 18/8 stainless steel (12 each minimum order)",SLTB00,,
SLTB003,"Tea Strainer, 3-1/8"" dia., tea ball with chain and mesh lining, 18/8 stainless steel (12 each minimum order)",SLTB00,,
SLTB004,"Tea Strainer, 3-1/2"" dia., tea ball with chain and mesh lining, 18/8 stainless steel (12 each minimum order)",SLTB00,,
SLTB005,"Tea Strainer, 4-3/8"" dia., tea ball with chain and mesh lining, 18/8 stainless steel (12 each minimum order)",SLTB00,,
SLTB006,"Tea Strainer, 5-1/8"" dia., tea ball with chain and mesh lining, 18/8 stainless steel",SLTB00,,
SLTB018R,"Taco Salad Bowl Basket, 8"" x 8"" x 5"", 18"" overall height, round bowl, nickel plated",SLTB01,,
SLTB018T,"Taco Salad Bowl Basket, 8-3/4"" x 9"" x 4-1/2"", 18"" overall height, triangular bowl, nickel plated",SLTB01,,
SLTCD012,"Turkish Coffee Decanter, 12 oz. capacity, easy-grip handle, hanging hole, side spout, stainless steel, mirror-finish (6 each minimum order)",SLTC,,
SLTCD024,"Turkish Coffee Decanter, 24 oz. capacity, easy-grip handle, hanging hole, side spout, stainless steel, mirror-finish (6 each minimum order)",SLTC,,
SLTD101,"Toilet Tissue Dispenser, locking, single, chrome plated",SLTD1,,
SLTD102,"Toilet Tissue Dispenser, locking, dual, chrome plated",SLTD1,,
SLTD301,"Jumbo-Roll Toilet Tissue Dispenser, single, 18/8 stainless steel",SLTD3,,
SLTD302,"Jumbo-Roll Toilet Tissue Dispenser, twin, 18/8 stainless steel",SLTD3,,
SLTE102,"Teaspoon, 6.06"", simple line-trimmed handle, 18/0 stainless steel, bright finish, Tahoe",,,
SLTE103,"Bouillon Spoon, 5.89"", simple line-trimmed handle, 18/0 stainless steel, bright finish, Tahoe",,,
SLTE104,"Dessert Spoon, 7.17"", simple line-trimmed handle, 18/0 stainless steel, bright finish, Tahoe",,,
SLTE106,"Dinner Fork, 7.48"", simple line-trimmed handle, 18/0 stainless steel, bright finish, Tahoe",,,
SLTE107,"Salad Fork, 6.22"", simple line-trimmed handle, 18/0 stainless steel, bright finish, Tahoe",,,
SLTE109,"Dinner Knife, 8.78"", simple line-trimmed handle, 18/0 stainless steel, bright finish, Tahoe",,,
SLTG1600B,"Utility Tongs, 16"" L, one-piece, non-slip, color coded handle, heavy duty, stainless steel, black (12 each minimum order)",SLTG1,,
SLTG1600Y,"Utility Tongs, 16"" L, one-piece, non-slip, color coded handle, heavy duty, stainless steel, yellow (12 each minimum order)",SLTG1,,
SLTG208,"Spaghetti Tongs, 8""L, one-piece construction, stainless steel (12 each minimum order)",SLTG2,,
SLTG309,"Hamburger Tongs, 9""L, stainless steel (12 each minimum order)",SLTG3,,
SLTG310,"Hamburger Tongs, 10-1/2""L, stainless steel (12 each minimum order)",SLTG3,,
SLTG407,"Cake Tongs, 7-1/2""L, stainless steel (12 each minimum order)",SLTG4,,
SLTG408,"Cake Tongs, 8-5/8""L, stainless steel (12 each minimum order)",SLTG4,,
SLTG607,"Pastry Tongs, 7-1/2""L, stainless steel (12 each minimum order)",SLTG6,,
SLTG608,"Pastry Tongs, 9""L, stainless steel (12 each minimum order)",SLTG6,,
SLTG706,"Pom Tongs, 6""L, one-piece, stainless steel (12 each minimum order)",SLTG7,,
SLTG709,"Pom Tongs, 9""L, one-piece, stainless steel (12 each minimum order)",SLTG7,,
SLTG712,"Pom Tongs, 12""L, one-piece, stainless steel (12 each minimum order)",SLTG7,,
SLTG810B,"Utility Tongs, 10"" L, one-piece, non-slip, color coded handle, stainless steel, blue (12 each minimum order)",SLTG8,,
SLTG810G,"Utility Tongs, 10"" L, one-piece, non-slip, color coded handle, stainless steel, green (12 each minimum order)",SLTG8,,
SLTG810K,"Utility Tongs, 10"" L, one-piece, non-slip, color coded handle, stainless steel, black (12 each minimum order)",SLTG8,,
SLTG810R,"Utility Tongs, 10"" L, one-piece, non-slip, color coded handle, stainless steel, red (12 each minimum order)",SLTG8,,
SLTG810Y,"Utility Tongs, 10"" L, one-piece, non-slip, color coded handle, stainless steel, yellow (12 each minimum order)",SLTG8,,
SLTG812B,"Utility Tongs, 12"" L, one-piece, non-slip, color coded handle, stainless steel, blue (12 each minimum order)",SLTG8,,
SLTG812G,"Utility Tongs, 12"" L, one-piece, non-slip, color coded handle, stainless steel, green (12 each minimum order)",SLTG8,,
SLTG812K,"Utility Tongs, 12"" L, one-piece, non-slip, color coded handle, stainless steel, black (12 each minimum order)",SLTG8,,
SLTG812R,"Utility Tongs, 12"" L, one-piece, non-slip, color coded handle, stainless steel, red (12 each minimum order)",SLTG8,,
SLTG812Y,"Utility Tongs, 12"" L, one-piece, non-slip, color coded handle, stainless steel, yellow (12 each minimum order)",SLTG8,,
SLTG816B,"Utility Tongs, 16"" L, one-piece, non-slip, color coded handle, stainless steel, blue (12 each minimum order)",SLTG8,,
SLTG816G,"Utility Tongs, 16"" L, one-piece, non-slip, color coded handle, stainless steel, green (12 each minimum order)",SLTG8,,
SLTG816K,"Utility Tongs, 16"" L, one-piece, non-slip, color coded handle, stainless steel, black (12 each minimum order)",SLTG8,,
SLTG816R,"Utility Tongs, 16"" L, one-piece, non-slip, color coded handle, stainless steel, red (12 each minimum order)",SLTG8,,
SLTG816Y,"Utility Tongs, 16"" L, one-piece, non-slip, color coded handle, stainless steel, yellow (12 each minimum order)",SLTG8,,
SLTH160,"Pocket Thermometer, 1-1/8"" dial display, 5"" pointed stem and bezel, -40° to 160° F temperature range, compact case with pocket clip, stainless steel, NSF (Note: DO NOT USE IN OVEN) (12 each minimum order)",SLTH1,,
SLTH160C,"Pocket Thermometer, 1-1/8"" dial display, 5"" pointed stem and bezel, -40° to 160° F temperature range, compact case with pocket clip, blister card packaging, stainless steel, NSF (Note: DO NOT USE IN OVEN) (12 each minimum order)",SLTH1,,
SLTH200,"Meat Thermometer, zoned dial display with stem, 120° to 200° F temperature range, blister card packaging, stainless steel, NSF (12 each minimum order)",SLTH20,,
SLTH220C,"Pocket Thermometer, 1-1/8"" dial display, 5"" pointed stem and bezel, 0° to 220° F temperature range, compact case with pocket clip, blister card packaging, stainless steel, NSF (Note: DO NOT USE IN OVEN) (12 each minimum order)",SLTH22,,
SLTH550,"Pocket Thermometer, 1-1/8"" dial display, 5"" pointed stem and bezel, 50° to 550° F temperature range, compact case with pocket clip, stainless steel, NSF (Note: DO NOT USE IN OVEN) (12 each minimum order)",SLTH5,,
SLTH550C,"Pocket Thermometer, 1-1/8"" dial display, 5"" pointed stem and bezel, 50° to 550° F temperature range, compact case with pocket clip, blister card packaging, stainless steel, NSF (Note: DO NOT USE IN OVEN) (12 each minimum order)",SLTH5,,
SLTH600,"Oven Thermometer, mercury filled glass tube, 100° to 600° F temperature range, +/- 1° accuracy, fold-up cover which doubles as a stand, stainless steel (12 each minimum order) (item may be prohibited in certain U.S. states)",SLTH6,,
SLTHAB012,"Adapter Bar, 12"" long, grooved, stainless steel (24 each minimum order)",SLTHA,,
SLTHAB012D,"Adapter Bar, 12"" long, stainless steel (24 each minimum order)",SLTHA,,
SLTHAB020,"Adapter Bar, 20"" long, grooved, stainless steel (24 each minimum order)",SLTHA,,
SLTHAB020D,"Adapter Bar, 20"" long, stainless steel (24 each minimum order)",SLTHA,,
SLTHCS001,"Ice cream Spade, one-piece stainless steel blade, with white plastic handle (12 each minimum order)",SLTHC,,
SLTHCS001B,"Ice cream Spade, one-piece stainless steel blade, with black plastic handle (12 each minimum order)",SLTHC,,
SLTHD080,"Refrigerator/Freezer Thermometer, dial display, -20° to 80° F temperature range, +/- 1° accuracy, hangs or stands, stainless steel, NSF (12 each minimum order)",SLTHD0,,
SLTHD400,"Deep Fry/Candy Thermometer, zoned dial display, 100° to 400° F temperature range, dishwasher safe, blister card, stainless steel, NSF (12 each minimum order)",SLTHD4,,
SLTHD550,"Oven Thermometer, dial display, 150° to 550° F temperature range, +/- 1° accuracy, hangs or stands, stainless steel, NSF (12 each minimum order)",SLTHD5,,
SLTHDP012,"Dipper, 3 oz. capacity, one-piece, cast aluminum, smooth finish, yellow end handle (12 each minimum order)",SLTHDP,,
SLTHDP016,"Dipper, 2-1/2 oz. capacity, one-piece, cast aluminum, smooth finish, green end handle (12 each minimum order)",SLTHDP,,
SLTHDP020,"Dipper, 2 oz. capacity, one-piece, cast aluminum, smooth finish, brown end handle (12 each minimum order)",SLTHDP,,
SLTHDP024,"Dipper, 1-1/2 oz. capacity, one-piece, cast aluminum, smooth finish, red end handle (12 each minimum order)",SLTHDP,,
SLTHDP112,"Dipper, 3 oz. capacity, non-stick, one-piece, cast aluminum, smooth finish, yellow end handle (12 each minimum order)",SLTHDP,,
SLTHDP116,"Dipper, 2-1/2 oz. capacity, non-stick, one-piece, cast aluminum, smooth finish, green end handle (12 each minimum order)",SLTHDP,,
SLTHDP120,"Dipper, 2 oz. capacity, non-stick, one-piece, cast aluminum, smooth finish, brown end handle (12 each minimum order)",SLTHDP,,
SLTHDP124,"Dipper, 1-1/2 oz. capacity, non-stick, one-piece, cast aluminum, smooth finish, red end handle (12 each minimum order)",SLTHDP,,
SLTHDS005,"Dough Scraper, 5-1/4"" x 4-1/4"", round steel handle, stainless steel, satin finish (12 each minimum order)",SLTHDS,,
SLTHFB010,"False Bottom, 10-1/2"" x 8-1/4"" x 3/8"", perforated, fingerhole lift-off, stainless steel",SLTHF,,
SLTHFB017,"False Bottom, 17"" x 8-3/4"" x 3/8"", perforated, fingerhole lift-off, stainless steel",SLTHF,,
SLTHL080,"Refrigerator/Freezer Thermometer, tube type, -40° to 80° F temperature range, dual scale reads Fahrenheit and Celsius, horizontal, hangs or stands, stainless steel, NSF (12 each minimum order)",SLTHL0,,
SLTHL400,"Deep Fry/Candy Thermometer, mercury filled glass tube, 100° to 400° F temperature range, +/- 1° F accuracy, dual scale reads Fahrenheit & Celsius, dishwasher safe, heat resistant handle, stainless steel (12 each minimum order) (item may be prohibited in certain U.S. states)",SLTHL4,,
SLTHUH001,"Utensil Holder, 5"" x 5"" x 9-3/4"", hook style, stainless steel (6 each minimum order)",SLTHUH,,
SLTHUT010,"Utility Tongs, 10""L, flat spring action, locking ring, stainless steel (12 each minimum order)",SLTHUT,,
SLTHUT012,"Utility Tongs, 12""L, flat spring action, locking ring, stainless steel (12 each minimum order)",SLTHUT,,
SLTHUT016,"Utility Tongs, 16""L, flat spring action, locking ring, stainless steel (12 each minimum order)",SLTHUT,,
SLTHUT107,"Utility Tongs, 7""L, coiled spring action, heavy duty, stainless steel (12 each minimum order)",SLTHUT,,
SLTHUT110,"Utility Tongs, 10""L, flat spring action, locking ring, heavy duty, stainless steel (12 each minimum order)",SLTHUT,,
SLTHUT112,"Utility Tongs, 12""L, flat spring action, locking ring, heavy duty, stainless steel (12 each minimum order)",SLTHUT,,
